x-axis,1,2,3,F1
second,Volt,Volt,Volt,Volt
-1.754000E-03,-146.381E-06,-198.758E-06,-1.635596098E+00,+51.950E-06
-1.752000E-03,-208.943E-06,-211.972E-06,-1.625633783E+00,+2.727E-06
-1.750000E-03,-129.233E-06,-212.503E-06,-1.615357156E+00,+82.925E-06
-1.748000E-03,-165.881E-06,-208.453E-06,-1.601512929E+00,+42.189E-06
-1.746000E-03,-213.038E-06,-209.461E-06,-1.587141003E+00,-3.878E-06
-1.744000E-03,-207.368E-06,-229.311E-06,-1.573523092E+00,+21.588E-06
-1.742000E-03,-356.584E-06,-260.542E-06,-1.562518124E+00,-96.274E-06
-1.740000E-03,-330.347E-06,-278.580E-06,-1.552291989E+00,-51.974E-06
-1.738000E-03,-249.505E-06,-265.011E-06,-1.541751784E+00,+15.147E-06
-1.736000E-03,-236.823E-06,-240.488E-06,-1.529716477E+00,+3.314E-06
-1.734000E-03,-224.800E-06,-219.986E-06,-1.515909875E+00,-5.203E-06
-1.732000E-03,-126.936E-06,-188.631E-06,-1.501613451E+00,+61.302E-06
-1.730000E-03,-83.854E-06,-169.408E-06,-1.488786878E+00,+85.194E-06
-1.728000E-03,-9.532E-06,-154.760E-06,-1.478133738E+00,+144.775E-06
-1.726000E-03,-161.559E-06,-178.859E-06,-1.468196615E+00,+16.885E-06
-1.724000E-03,-169.777E-06,-207.802E-06,-1.457920096E+00,+37.644E-06
-1.722000E-03,-241.111E-06,-217.451E-06,-1.445960159E+00,-23.896E-06
-1.720000E-03,-334.357E-06,-233.103E-06,-1.432693822E+00,-101.475E-06
-1.718000E-03,-219.029E-06,-227.599E-06,-1.419113415E+00,+8.183E-06
-1.716000E-03,-227.823E-06,-214.712E-06,-1.406651235E+00,-13.485E-06
-1.714000E-03,-198.098E-06,-191.871E-06,-1.396148788E+00,-6.541E-06
-1.712000E-03,-186.816E-06,-197.625E-06,-1.386186472E+00,+10.422E-06
-1.710000E-03,-176.086E-06,-196.923E-06,-1.375658760E+00,+20.478E-06
-1.708000E-03,-159.977E-06,-191.117E-06,-1.363661198E+00,+30.778E-06
-1.706000E-03,-165.059E-06,-194.057E-06,-1.350671102E+00,+28.658E-06
-1.704000E-03,-208.637E-06,-216.897E-06,-1.337028023E+00,+7.892E-06
-1.702000E-03,-212.369E-06,-206.243E-06,-1.324389899E+00,-6.424E-06
-1.700000E-03,-238.492E-06,-204.331E-06,-1.313535624E+00,-34.353E-06
-1.698000E-03,-228.994E-06,-197.023E-06,-1.302945240E+00,-32.274E-06
-1.696000E-03,-156.427E-06,-187.122E-06,-1.292354784E+00,+30.322E-06
-1.694000E-03,-155.046E-06,-188.053E-06,-1.280809407E+00,+32.602E-06
-1.692000E-03,-142.032E-06,-170.138E-06,-1.268749100E+00,+27.707E-06
-1.690000E-03,-167.009E-06,-163.126E-06,-1.256060654E+00,-4.175E-06
-1.688000E-03,-99.737E-06,-166.169E-06,-1.244327056E+00,+66.077E-06
-1.686000E-03,-134.689E-06,-172.401E-06,-1.233158710E+00,+37.344E-06
-1.684000E-03,-92.963E-06,-169.409E-06,-1.221450087E+00,+76.095E-06
-1.682000E-03,-150.455E-06,-184.434E-06,-1.209075710E+00,+33.625E-06
-1.680000E-03,-169.669E-06,-204.334E-06,-1.195947488E+00,+34.257E-06
-1.678000E-03,-291.363E-06,-210.791E-06,-1.182367080E+00,-80.768E-06
-1.676000E-03,-207.901E-06,-204.357E-06,-1.169100744E+00,-3.758E-06
-1.674000E-03,-302.834E-06,-182.600E-06,-1.156726524E+00,-120.484E-06
-1.672000E-03,-251.627E-06,-170.389E-06,-1.145005335E+00,-81.508E-06
-1.670000E-03,-211.741E-06,-143.152E-06,-1.133259099E+00,-68.856E-06
-1.668000E-03,-109.815E-06,-115.766E-06,-1.120884723E+00,+5.614E-06
-1.666000E-03,-21.705E-06,-103.027E-06,-1.107618144E+00,+80.917E-06
-1.664000E-03,-97.603E-06,-128.683E-06,-1.093899707E+00,+30.735E-06
-1.662000E-03,-170.686E-06,-166.097E-06,-1.080947441E+00,-4.819E-06
-1.660000E-03,-149.562E-06,-182.977E-06,-1.068874654E+00,+33.066E-06
-1.658000E-03,-123.431E-06,-186.041E-06,-1.058271716E+00,+62.217E-06
-1.656000E-03,-99.149E-06,-184.258E-06,-1.047103370E+00,+84.694E-06
-1.654000E-03,-242.902E-06,-197.650E-06,-1.035105712E+00,-45.496E-06
-1.652000E-03,-315.637E-06,-197.521E-06,-1.022203780E+00,-118.372E-06
-1.650000E-03,-158.714E-06,-131.465E-06,-1.009829404E+00,-27.514E-06
-1.648000E-03,-24.737E-06,-88.228E-06,-999.553187E-03,+63.098E-06
-1.646000E-03,-112.954E-06,-108.306E-06,-989.804525E-03,-4.944E-06
-1.644000E-03,-216.079E-06,-143.256E-06,-979.942627E-03,-73.097E-06
-1.642000E-03,-169.109E-06,-151.067E-06,-968.070505E-03,-18.291E-06
-1.640000E-03,-98.941E-06,-135.994E-06,-954.427197E-03,+36.650E-06
-1.638000E-03,-83.055E-06,-135.644E-06,-939.653409E-03,+52.142E-06
-1.636000E-03,-68.677E-06,-152.778E-06,-926.977612E-03,+83.675E-06
-1.634000E-03,-136.250E-06,-163.255E-06,-916.224104E-03,+26.594E-06
-1.632000E-03,-93.030E-06,-145.717E-06,-906.663710E-03,+52.314E-06
-1.630000E-03,-44.041E-06,-117.776E-06,-896.135890E-03,+73.319E-06
-1.628000E-03,-46.707E-06,-112.976E-06,-883.296509E-03,+65.869E-06
-1.626000E-03,-95.138E-06,-123.932E-06,-868.798926E-03,+28.368E-06
-1.624000E-03,-200.867E-06,-147.679E-06,-853.987634E-03,-53.418E-06
-1.622000E-03,-216.846E-06,-158.579E-06,-841.299187E-03,-58.484E-06
-1.620000E-03,-170.927E-06,-154.837E-06,-830.872230E-03,-16.379E-06
-1.618000E-03,-193.794E-06,-159.010E-06,-820.909915E-03,-35.023E-06
-1.616000E-03,-124.212E-06,-150.890E-06,-810.143394E-03,+26.335E-06
-1.614000E-03,-159.936E-06,-151.041E-06,-797.769018E-03,-9.177E-06
-1.612000E-03,-127.040E-06,-150.189E-06,-784.464899E-03,+22.774E-06
-1.610000E-03,-137.753E-06,-156.974E-06,-771.826703E-03,+18.860E-06
-1.608000E-03,-202.738E-06,-170.894E-06,-760.218847E-03,-32.117E-06
-1.606000E-03,-261.079E-06,-175.286E-06,-749.213723E-03,-86.007E-06
-1.604000E-03,-34.781E-06,-134.758E-06,-738.409698E-03,+99.565E-06
-1.602000E-03,-64.520E-06,-116.946E-06,-726.663462E-03,+52.053E-06
-1.600000E-03,-94.046E-06,-132.728E-06,-713.346778E-03,+38.258E-06
-1.598000E-03,-74.773E-06,-141.795E-06,-699.766371E-03,+66.596E-06
-1.596000E-03,-46.721E-06,-132.098E-06,-687.241435E-03,+84.973E-06
-1.594000E-03,-164.449E-06,-170.496E-06,-676.550574E-03,+5.755E-06
-1.592000E-03,-291.371E-06,-206.071E-06,-666.902329E-03,-85.542E-06
-1.590000E-03,-328.811E-06,-218.024E-06,-657.191171E-03,-111.054E-06
-1.588000E-03,-235.005E-06,-206.492E-06,-645.696092E-03,-28.728E-06
-1.586000E-03,-177.512E-06,-189.683E-06,-633.007646E-03,+11.800E-06
-1.584000E-03,-142.532E-06,-169.510E-06,-619.150757E-03,+26.567E-06
-1.582000E-03,-129.057E-06,-155.036E-06,-606.374470E-03,+25.602E-06
-1.580000E-03,-137.247E-06,-163.004E-06,-595.382105E-03,+25.357E-06
-1.578000E-03,-249.675E-06,-186.620E-06,-585.545519E-03,-63.322E-06
-1.576000E-03,-59.677E-06,-160.263E-06,-576.211344E-03,+100.177E-06
-1.574000E-03,-137.983E-06,-171.799E-06,-565.645911E-03,+33.479E-06
-1.572000E-03,-29.204E-06,-159.736E-06,-553.371831E-03,+130.104E-06
-1.570000E-03,+14.404E-06,-163.757E-06,-539.602878E-03,+177.743E-06
-1.568000E-03,-20.933E-06,-172.777E-06,-525.721171E-03,+151.399E-06
-1.566000E-03,-55.340E-06,-179.737E-06,-513.120769E-03,+123.986E-06
-1.564000E-03,-130.478E-06,-180.587E-06,-501.600559E-03,+49.694E-06
-1.562000E-03,-59.250E-06,-151.770E-06,-489.540252E-03,+92.133E-06
-1.560000E-03,-45.551E-06,-135.492E-06,-477.479946E-03,+89.554E-06
-1.558000E-03,-151.877E-06,-154.788E-06,-465.105570E-03,+2.568E-06
-1.556000E-03,-102.424E-06,-161.922E-06,-452.266262E-03,+59.115E-06
-1.554000E-03,-5.440E-06,-163.255E-06,-440.457427E-03,+157.435E-06
-1.552000E-03,-57.410E-06,-167.624E-06,-429.703870E-03,+109.805E-06
-1.550000E-03,-73.303E-06,-171.042E-06,-420.319336E-03,+97.351E-06
-1.548000E-03,-40.751E-06,-163.151E-06,-410.407163E-03,+121.993E-06
-1.546000E-03,-46.329E-06,-163.479E-06,-399.866958E-03,+116.716E-06
-1.544000E-03,-17.931E-06,-145.892E-06,-386.964833E-03,+127.567E-06
-1.542000E-03,-89.098E-06,-160.992E-06,-373.221000E-03,+71.526E-06
-1.540000E-03,-157.452E-06,-164.758E-06,-360.017588E-03,+6.966E-06
-1.538000E-03,-133.828E-06,-157.953E-06,-348.284026E-03,+23.762E-06
-1.536000E-03,-146.555E-06,-171.650E-06,-336.801610E-03,+24.747E-06
-1.534000E-03,-204.202E-06,-199.485E-06,-324.012324E-03,-5.025E-06
-1.532000E-03,-250.148E-06,-193.076E-06,-309.854027E-03,-57.338E-06
-1.530000E-03,-227.189E-06,-173.305E-06,-295.633142E-03,-54.153E-06
-1.528000E-03,-151.206E-06,-156.970E-06,-282.002484E-03,+5.471E-06
-1.526000E-03,-216.155E-06,-150.589E-06,-270.595559E-03,-65.864E-06
-1.524000E-03,-76.133E-06,-130.814E-06,-260.030343E-03,+54.253E-06
-1.522000E-03,-87.702E-06,-122.152E-06,-249.515148E-03,+34.067E-06
-1.520000E-03,-117.543E-06,-136.876E-06,-238.849431E-03,+18.919E-06
-1.518000E-03,-100.072E-06,-148.631E-06,-227.668290E-03,+48.149E-06
-1.516000E-03,-211.835E-06,-154.940E-06,-215.607984E-03,-57.172E-06
-1.514000E-03,-327.311E-06,-178.156E-06,-203.899553E-03,-149.353E-06
-1.512000E-03,-142.519E-06,-169.581E-06,-192.417137E-03,+26.650E-06
-1.510000E-03,-174.578E-06,-165.643E-06,-180.055206E-03,-9.256E-06
-1.508000E-03,-122.473E-06,-148.049E-06,-166.650441E-03,+25.196E-06
-1.506000E-03,-81.273E-06,-127.978E-06,-151.399060E-03,+46.303E-06
-1.504000E-03,-35.616E-06,-108.930E-06,-136.034732E-03,+72.930E-06
-1.502000E-03,-19.124E-06,-95.316E-06,-122.291128E-03,+75.820E-06
-1.500000E-03,-97.781E-06,-125.815E-06,-110.331685E-03,+27.668E-06
-1.498000E-03,-79.453E-06,-151.296E-06,-99.741349E-03,+71.462E-06
-1.496000E-03,-177.699E-06,-171.017E-06,-88.409444E-03,-6.959E-06
-1.494000E-03,-147.995E-06,-153.404E-06,-76.663208E-03,+5.077E-06
-1.492000E-03,-183.351E-06,-156.143E-06,-63.547503E-03,-27.504E-06
-1.490000E-03,-211.241E-06,-160.114E-06,-50.972244E-03,-51.400E-06
-1.488000E-03,-244.191E-06,-156.716E-06,-39.879522E-03,-87.763E-06
-1.486000E-03,-151.052E-06,-143.453E-06,-30.545347E-03,-7.806E-06
